Day;Population size;Plants quantity;Free field;Most popular genotype;Average energy level;Average life length;
1;10;19;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];10.0;0.0;
2;10;26;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];12.0;0.0;
3;10;33;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];14.0;0.0;
4;10;37;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];19.0;0.0;
5;10;41;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];24.0;0.0;
6;11;45;91;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];26.0;0.0;
7;13;48;91;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];25.0;0.0;
8;16;48;90;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];24.0;0.0;
9;19;48;87;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];24.0;0.0;
10;19;48;86;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];28.0;10.0;
11;20;46;83;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];32.0;10.0;
12;24;44;84;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];30.0;10.0;
13;27;42;80;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];31.0;10.0;
14;31;39;78;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];30.0;10.0;
15;37;38;77;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];27.0;10.0;
16;45;37;75;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];24.0;10.0;
17;50;33;64;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];23.0;10.0;
18;60;29;64;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];21.0;10.0;
19;70;23;61;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];19.0;10.0;
20;79;15;52;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];18.0;12.0;
21;91;17;50;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];16.0;12.0;
22;109;16;49;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];13.0;12.0;
23;128;11;42;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];12.0;11.0;
24;142;4;28;[7, 5, 2, 7, 4, 3, 2, 5, 4, 0];11.0;11.0;
